Device_Name,Vendor,Firmware_Version,Software Component Package,Software Component Package Version,CVEs,Score,Severity,Source
camera,,,,,,,,
,avertx,,,,,,,
,,uImage_userland,,,,,,
,,,busybox,,,,,
,,,,1.19.3,,,,
,,,,,CVE-2011-2716,6.8,MEDIUM,NVD
,,,,,CVE-2011-5325,7.5,HIGH,NVD
,,,,,CVE-2013-1813,7.2,HIGH,NVD
,,,,,CVE-2014-9645,5.5,MEDIUM,NVD
,,,,,CVE-2015-9261,5.5,MEDIUM,NVD
,,,,,CVE-2016-2147,7.5,HIGH,NVD
,,,,,CVE-2016-2148,9.8,CRITICAL,NVD
,,,,,CVE-2016-6301,7.5,HIGH,NVD
,,,,,CVE-2017-16544,8.8,HIGH,NVD
,,,,,CVE-2018-1000500,8.1,HIGH,NVD
,,,,,CVE-2018-1000517,9.8,CRITICAL,NVD
,,,,,CVE-2018-20679,7.5,HIGH,NVD
,,,,,CVE-2019-5747,7.5,HIGH,NVD
,,,,,CVE-2021-42376,5.5,MEDIUM,NVD
,,,,,CVE-2021-42378,7.2,HIGH,NVD
,,,,,CVE-2021-42379,7.2,HIGH,NVD
,,,,,CVE-2021-42384,7.2,HIGH,NVD
,,,,,CVE-2021-42385,7.2,HIGH,NVD
,,,,,CVE-2021-42386,7.2,HIGH,NVD
,,,,,CVE-2022-28391,8.8,HIGH,NVD
,,,,1.15.3,,,,
,,,,,CVE-2011-2716,6.8,MEDIUM,NVD
,,,,,CVE-2011-5325,7.5,HIGH,NVD
,,,,,CVE-2013-1813,7.2,HIGH,NVD
,,,,,CVE-2014-9645,5.5,MEDIUM,NVD
,,,,,CVE-2015-9261,5.5,MEDIUM,NVD
,,,,,CVE-2016-2147,7.5,HIGH,NVD
,,,,,CVE-2016-2148,9.8,CRITICAL,NVD
,,,,,CVE-2016-6301,7.5,HIGH,NVD
,,,,,CVE-2017-16544,8.8,HIGH,NVD
,,,,,CVE-2018-1000500,8.1,HIGH,NVD
,,,,,CVE-2018-1000517,9.8,CRITICAL,NVD
,,,,,CVE-2018-20679,7.5,HIGH,NVD
,,,,,CVE-2019-5747,7.5,HIGH,NVD
,,,,,CVE-2022-28391,8.8,HIGH,NVD
,,,glibc,,,,,
,,,,2.4,,,,
,,,,,CVE-2006-7254,5.5,MEDIUM,NVD
,,,,,CVE-2009-4880,5,MEDIUM,NVD
,,,,,CVE-2009-4881,5,MEDIUM,NVD
,,,,,CVE-2009-5029,6.8,MEDIUM,NVD
,,,,,CVE-2009-5155,7.5,HIGH,NVD
,,,,,CVE-2010-0296,7.2,HIGH,NVD
,,,,,CVE-2010-0830,5.1,MEDIUM,NVD
,,,,,CVE-2010-3192,5,MEDIUM,NVD
,,,,,CVE-2010-3847,6.9,MEDIUM,NVD
,,,,,CVE-2010-3856,7.2,HIGH,NVD
,,,,,CVE-2010-4756,4,MEDIUM,NVD
,,,,,CVE-2011-1071,5.1,MEDIUM,NVD
,,,,,CVE-2011-1089,3.3,LOW,NVD
,,,,,CVE-2011-1095,6.2,MEDIUM,NVD
,,,,,CVE-2011-1658,3.7,LOW,NVD
,,,,,CVE-2011-1659,5,MEDIUM,NVD
,,,,,CVE-2011-2702,6.8,MEDIUM,NVD
,,,,,CVE-2011-4609,5,MEDIUM,NVD
,,,,,CVE-2011-5320,6.2,MEDIUM,NVD
,,,,,CVE-2012-4412,7.5,HIGH,NVD
,,,,,CVE-2012-4424,5.1,MEDIUM,NVD
,,,,,CVE-2012-6656,5,MEDIUM,NVD
,,,,,CVE-2013-1914,5,MEDIUM,NVD
,,,,,CVE-2013-2207,2.6,LOW,NVD
,,,,,CVE-2013-4122,4.3,MEDIUM,NVD
,,,,,CVE-2013-4237,6.8,MEDIUM,NVD
,,,,,CVE-2013-4332,4.3,MEDIUM,NVD
,,,,,CVE-2013-4458,5,MEDIUM,NVD
,,,,,CVE-2013-4788,5.1,MEDIUM,NVD
,,,,,CVE-2013-7423,5,MEDIUM,NVD
,,,,,CVE-2013-7424,5.1,MEDIUM,NVD
,,,,,CVE-2014-0475,6.8,MEDIUM,NVD
,,,,,CVE-2014-4043,7.5,HIGH,NVD
,,,,,CVE-2014-5119,7.5,HIGH,NVD
,,,,,CVE-2014-6040,5,MEDIUM,NVD
,,,,,CVE-2014-8121,5,MEDIUM,NVD
,,,,,CVE-2014-9402,7.8,HIGH,NVD
,,,,,CVE-2014-9761,9.8,CRITICAL,NVD
,,,,,CVE-2014-9984,9.8,CRITICAL,NVD
,,,,,CVE-2015-0235,10,HIGH,NVD
,,,,,CVE-2015-1472,7.5,HIGH,NVD
,,,,,CVE-2015-1473,6.4,MEDIUM,NVD
,,,,,CVE-2015-1781,6.8,MEDIUM,NVD
,,,,,CVE-2015-5180,7.5,HIGH,NVD
,,,,,CVE-2015-5277,7.2,HIGH,NVD
,,,,,CVE-2015-8776,9.1,CRITICAL,NVD
,,,,,CVE-2015-8777,5.5,MEDIUM,NVD
,,,,,CVE-2015-8778,9.8,CRITICAL,NVD
,,,,,CVE-2015-8779,9.8,CRITICAL,NVD
,,,,,CVE-2015-8982,8.1,HIGH,NVD
,,,,,CVE-2015-8983,8.1,HIGH,NVD
,,,,,CVE-2015-8984,5.9,MEDIUM,NVD
,,,,,CVE-2015-8985,5.9,MEDIUM,NVD
,,,,,CVE-2016-10228,5.9,MEDIUM,NVD
,,,,,CVE-2016-10739,5.3,MEDIUM,NVD
,,,,,CVE-2016-1234,7.5,HIGH,NVD
,,,,,CVE-2016-2856,8.4,HIGH,NVD
,,,,,CVE-2016-3075,7.5,HIGH,NVD
,,,,,CVE-2016-3706,7.5,HIGH,NVD
,,,,,CVE-2016-5417,7.5,HIGH,NVD
,,,,,CVE-2016-6323,7.5,HIGH,NVD
,,,,,CVE-2017-1000366,7.8,HIGH,NVD
,,,,,CVE-2017-12132,5.9,MEDIUM,NVD
,,,,,CVE-2017-12133,5.9,MEDIUM,NVD
,,,,,CVE-2017-15670,9.8,CRITICAL,NVD
,,,,,CVE-2017-15671,5.9,MEDIUM,NVD
,,,,,CVE-2017-15804,9.8,CRITICAL,NVD
,,,,,CVE-2018-1000001,7.8,HIGH,NVD
,,,,,CVE-2018-11236,9.8,CRITICAL,NVD
,,,,,CVE-2018-11237,7.8,HIGH,NVD
,,,,,CVE-2018-19591,7.5,HIGH,NVD
,,,,,CVE-2018-20796,7.5,HIGH,NVD
,,,,,CVE-2018-6485,9.8,CRITICAL,NVD
,,,,,CVE-2019-19126,3.3,LOW,NVD
,,,,,CVE-2019-25013,5.9,MEDIUM,NVD
,,,,,CVE-2019-6488,7.8,HIGH,NVD
,,,,,CVE-2019-7309,5.5,MEDIUM,NVD
,,,,,CVE-2019-9169,9.8,CRITICAL,NVD
,,,,,CVE-2019-9192,7.5,HIGH,NVD
,,,,,CVE-2020-10029,5.5,MEDIUM,NVD
,,,,,CVE-2020-1751,7,HIGH,NVD
,,,,,CVE-2020-1752,7,HIGH,NVD
,,,,,CVE-2020-27618,5.5,MEDIUM,NVD
,,,,,CVE-2020-29573,7.5,HIGH,NVD
,,,,,CVE-2020-6096,8.1,HIGH,NVD
,,,,,CVE-2021-3326,7.5,HIGH,NVD
,,,,,CVE-2021-35942,9.1,CRITICAL,NVD
,,,,,CVE-2021-38604,7.5,HIGH,NVD
,,,,,CVE-2021-3999,7.8,HIGH,NVD
,,,,,CVE-2022-23218,9.8,CRITICAL,NVD
,,,,,CVE-2022-23219,9.8,CRITICAL,NVD
,,,,2.13,,,,
,,,,,CVE-2009-5029,6.8,MEDIUM,NVD
,,,,,CVE-2009-5155,7.5,HIGH,NVD
,,,,,CVE-2010-3192,5,MEDIUM,NVD
,,,,,CVE-2010-4756,4,MEDIUM,NVD
,,,,,CVE-2011-1089,3.3,LOW,NVD
,,,,,CVE-2011-1658,3.7,LOW,NVD
,,,,,CVE-2011-1659,5,MEDIUM,NVD
,,,,,CVE-2011-4609,5,MEDIUM,NVD
,,,,,CVE-2011-5320,6.2,MEDIUM,NVD
,,,,,CVE-2012-4412,7.5,HIGH,NVD
,,,,,CVE-2012-4424,5.1,MEDIUM,NVD
,,,,,CVE-2012-6656,5,MEDIUM,NVD
,,,,,CVE-2013-1914,5,MEDIUM,NVD
,,,,,CVE-2013-2207,2.6,LOW,NVD
,,,,,CVE-2013-4237,6.8,MEDIUM,NVD
,,,,,CVE-2013-4332,4.3,MEDIUM,NVD
,,,,,CVE-2013-4458,5,MEDIUM,NVD
,,,,,CVE-2013-4788,5.1,MEDIUM,NVD
,,,,,CVE-2013-7423,5,MEDIUM,NVD
,,,,,CVE-2013-7424,5.1,MEDIUM,NVD
,,,,,CVE-2014-0475,6.8,MEDIUM,NVD
,,,,,CVE-2014-4043,7.5,HIGH,NVD
,,,,,CVE-2014-5119,7.5,HIGH,NVD
,,,,,CVE-2014-6040,5,MEDIUM,NVD
,,,,,CVE-2014-8121,5,MEDIUM,NVD
,,,,,CVE-2014-9402,7.8,HIGH,NVD
,,,,,CVE-2014-9761,9.8,CRITICAL,NVD
,,,,,CVE-2014-9984,9.8,CRITICAL,NVD
,,,,,CVE-2015-0235,10,HIGH,NVD
,,,,,CVE-2015-1472,7.5,HIGH,NVD
,,,,,CVE-2015-1473,6.4,MEDIUM,NVD
,,,,,CVE-2015-1781,6.8,MEDIUM,NVD
,,,,,CVE-2015-5180,7.5,HIGH,NVD
,,,,,CVE-2015-5277,7.2,HIGH,NVD
,,,,,CVE-2015-7547,8.1,HIGH,NVD
,,,,,CVE-2015-8776,9.1,CRITICAL,NVD
,,,,,CVE-2015-8777,5.5,MEDIUM,NVD
,,,,,CVE-2015-8778,9.8,CRITICAL,NVD
,,,,,CVE-2015-8779,9.8,CRITICAL,NVD
,,,,,CVE-2015-8982,8.1,HIGH,NVD
,,,,,CVE-2015-8983,8.1,HIGH,NVD
,,,,,CVE-2015-8984,5.9,MEDIUM,NVD
,,,,,CVE-2015-8985,5.9,MEDIUM,NVD
,,,,,CVE-2016-10228,5.9,MEDIUM,NVD
,,,,,CVE-2016-10739,5.3,MEDIUM,NVD
,,,,,CVE-2016-1234,7.5,HIGH,NVD
,,,,,CVE-2016-2856,8.4,HIGH,NVD
,,,,,CVE-2016-3075,7.5,HIGH,NVD
,,,,,CVE-2016-3706,7.5,HIGH,NVD
,,,,,CVE-2016-5417,7.5,HIGH,NVD
,,,,,CVE-2016-6323,7.5,HIGH,NVD
,,,,,CVE-2017-1000366,7.8,HIGH,NVD
,,,,,CVE-2017-12132,5.9,MEDIUM,NVD
,,,,,CVE-2017-12133,5.9,MEDIUM,NVD
,,,,,CVE-2017-15670,9.8,CRITICAL,NVD
,,,,,CVE-2017-15671,5.9,MEDIUM,NVD
,,,,,CVE-2017-15804,9.8,CRITICAL,NVD
,,,,,CVE-2018-1000001,7.8,HIGH,NVD
,,,,,CVE-2018-11236,9.8,CRITICAL,NVD
,,,,,CVE-2018-11237,7.8,HIGH,NVD
,,,,,CVE-2018-19591,7.5,HIGH,NVD
,,,,,CVE-2018-20796,7.5,HIGH,NVD
,,,,,CVE-2018-6485,9.8,CRITICAL,NVD
,,,,,CVE-2019-19126,3.3,LOW,NVD
,,,,,CVE-2019-25013,5.9,MEDIUM,NVD
,,,,,CVE-2019-6488,7.8,HIGH,NVD
,,,,,CVE-2019-7309,5.5,MEDIUM,NVD
,,,,,CVE-2019-9169,9.8,CRITICAL,NVD
,,,,,CVE-2019-9192,7.5,HIGH,NVD
,,,,,CVE-2020-10029,5.5,MEDIUM,NVD
,,,,,CVE-2020-1751,7,HIGH,NVD
,,,,,CVE-2020-1752,7,HIGH,NVD
,,,,,CVE-2020-27618,5.5,MEDIUM,NVD
,,,,,CVE-2020-29573,7.5,HIGH,NVD
,,,,,CVE-2020-6096,8.1,HIGH,NVD
,,,,,CVE-2021-3326,7.5,HIGH,NVD
,,,,,CVE-2021-35942,9.1,CRITICAL,NVD
,,,,,CVE-2021-38604,7.5,HIGH,NVD
,,,,,CVE-2021-3999,7.8,HIGH,NVD
,,,,,CVE-2022-23218,9.8,CRITICAL,NVD
,,,,,CVE-2022-23219,9.8,CRITICAL,NVD
,,,,2.8,,,,
,,,,,CVE-2009-4880,5,MEDIUM,NVD
,,,,,CVE-2009-4881,5,MEDIUM,NVD
,,,,,CVE-2009-5029,6.8,MEDIUM,NVD
,,,,,CVE-2009-5155,7.5,HIGH,NVD
,,,,,CVE-2010-0296,7.2,HIGH,NVD
,,,,,CVE-2010-0830,5.1,MEDIUM,NVD
,,,,,CVE-2010-3192,5,MEDIUM,NVD
,,,,,CVE-2010-3847,6.9,MEDIUM,NVD
,,,,,CVE-2010-3856,7.2,HIGH,NVD
,,,,,CVE-2010-4756,4,MEDIUM,NVD
,,,,,CVE-2011-1071,5.1,MEDIUM,NVD
,,,,,CVE-2011-1089,3.3,LOW,NVD
,,,,,CVE-2011-1095,6.2,MEDIUM,NVD
,,,,,CVE-2011-1658,3.7,LOW,NVD
,,,,,CVE-2011-1659,5,MEDIUM,NVD
,,,,,CVE-2011-2702,6.8,MEDIUM,NVD
,,,,,CVE-2011-4609,5,MEDIUM,NVD
,,,,,CVE-2011-5320,6.2,MEDIUM,NVD
,,,,,CVE-2012-4412,7.5,HIGH,NVD
,,,,,CVE-2012-4424,5.1,MEDIUM,NVD
,,,,,CVE-2012-6656,5,MEDIUM,NVD
,,,,,CVE-2013-1914,5,MEDIUM,NVD
